Data,submercado,Consumo (MWm)
2018-07-01,nordeste,1186.7853291900726
2018-07-01,norte,958.8886121367677
2018-07-01,sudeste,3477.788493417926
2018-07-01,sul,3488.759032639592
2018-08-01,nordeste,1228.7345909077703
2018-08-01,norte,986.9833813600196
2018-08-01,sudeste,3507.937860246135
2018-08-01,sul,3492.4416252479136
2018-09-01,nordeste,1249.0710128008127
2018-09-01,norte,1017.2093832693602
2018-09-01,sudeste,3583.6112158275264
2018-09-01,sul,3397.923892256522
2018-10-01,nordeste,1318.4917083528187
2018-10-01,norte,1039.1731998314194
2018-10-01,sudeste,3681.1976006273662
2018-10-01,sul,3513.0360547939677
2018-11-01,nordeste,1325.10464421557
2018-11-01,norte,1014.5274585840613
2018-11-01,sudeste,3641.8765203324915
2018-11-01,sul,3692.183668075065
2018-12-01,nordeste,1266.4032893565038
2018-12-01,norte,920.0389218964324
2018-12-01,sudeste,3680.1728182459838
2018-12-01,sul,3749.6864787112263
2019-01-01,nordeste,1317.3578359379599
2019-01-01,norte,932.3565938300193
2019-01-01,sudeste,4008.2113518952933
2019-01-01,sul,4187.650211910882
2019-02-01,nordeste,1335.3994937642026
2019-02-01,norte,936.2340158416491
2019-02-01,sudeste,3901.997881255237
2019-02-01,sul,4054.7886831992596
2019-03-01,nordeste,1277.0771047593025
2019-03-01,norte,939.3039263024065
2019-03-01,sudeste,3766.3000690751487
2019-03-01,sul,3780.1116719748384
2019-04-01,nordeste,1282.165221338796
2019-04-01,norte,939.3520699221401
2019-04-01,sudeste,3752.3564021473762
2019-04-01,sul,3706.546146127889
2019-05-01,nordeste,1282.7981866932746
2019-05-01,norte,976.5537142440579
2019-05-01,sudeste,3621.5104677199074
2019-05-01,sul,3551.102052517247
2019-06-01,nordeste,1190.8185967469497
2019-06-01,norte,1009.8129499103935
2019-06-01,sudeste,3469.0419328840962
2019-06-01,sul,3459.530297440067
2019-07-01,nordeste,1174.736408006319
2019-07-01,norte,1010.7588263665228
2019-07-01,sudeste,3428.4155934139026
2019-07-01,sul,3505.3484509698496
2019-08-01,nordeste,1178.9483607650282
2019-08-01,norte,1054.4978481710646
2019-08-01,sudeste,3499.626111039017
2019-08-01,sul,3455.2122908316346
2019-09-01,nordeste,1226.933161908775
2019-09-01,norte,1082.8765185871534
2019-09-01,sudeste,3707.968591177532
2019-09-01,sul,3440.789932837666
2019-10-01,nordeste,1298.248947756403
2019-10-01,norte,1065.977292781516
2019-10-01,sudeste,3837.153659450283
2019-10-01,sul,3655.4873049529247
2019-11-01,nordeste,1342.4586606318126
2019-11-01,norte,1085.4667708038598
2019-11-01,sudeste,3739.0529542626923
2019-11-01,sul,3726.5203830103114
2019-12-01,nordeste,1340.9754962041004
2019-12-01,norte,1060.3552883692194
2019-12-01,sudeste,3592.509072713783
2019-12-01,sul,3725.2542657740646
2020-01-01,nordeste,1315.4354202293835
2020-01-01,norte,1011.3752596089031
2020-01-01,sudeste,3771.4987965457103
2020-01-01,sul,4020.3209042541293
2020-02-01,nordeste,1319.2068249401598
2020-02-01,norte,1022.9730079981174
2020-02-01,sudeste,3775.076999134462
2020-02-01,sul,4063.7994677533798
2020-03-01,nordeste,1253.9110247572826
2020-03-01,norte,988.6872734516193
2020-03-01,sudeste,3656.5660185454385
2020-03-01,sul,3870.3334226157103
2020-04-01,nordeste,1147.2599450705877
2020-04-01,norte,941.2071510493198
2020-04-01,sudeste,3234.1848529262134
2020-04-01,sul,3217.9351890493767
2020-05-01,nordeste,1135.9963722147943
2020-05-01,norte,985.3896256191999
2020-05-01,sudeste,3171.218464548439
2020-05-01,sul,3181.642658537097
2020-06-01,nordeste,1142.574824336283
2020-06-01,norte,1023.5687507356527
2020-06-01,sudeste,3317.4620269100524
2020-06-01,sul,3344.580207575333
